Venue Type,Name,Address,City,State,ZIP Code,Full Address,Latitude,Longitude,Community Areas
CBO,A Safe Haven,2750 W Roosevelt,Chicago,IL,60606,2750 W Roosevelt Chicago IL 60606,41.8668339,-87.6955197,North Lawndale
Bakery,Abundance Bakery,47th & State,Chicago,IL,60604,47th & State Chicago IL 60604,41.8092375,-87.6261431,Loop
CBO,Access Armitage,2957 W. Armitage,Chicago,IL,60647,2957 W. Armitage Chicago IL 60647,41.9172929,-87.701484,Logan Square
CBO,Access Ashland,5256 S. Ashland Ave.,Chicago,IL,60609,5256 S. Ashland Ave. Chicago IL 60609,41.797858,-87.665059,New City
CBO,Access at Anixter Center,2020 N. Clyborn Ave.,Chicago,IL,60614,2020 N. Clyborn Ave. Chicago IL 60614,41.9183696,-87.6602815,Lincoln Park
CBO,Access at Saint Francis Health Center,7465 N. Clark St.,Chicago,IL,60626,7465 N. Clark St. Chicago IL 60626,42.0178395,-87.6753186,Rogers Park
CBO,Access At the Eye Instutute,3241 S. Michigan Ave.,Chicago,IL,60616,3241 S. Michigan Ave. Chicago IL 60616,41.835265,-87.622279,Douglas
CBO,Access Auburn-Gresham,8234 S. Ashland Ave.,Chicago,IL,60620,8234 S. Ashland Ave. Chicago IL 60620,41.7438324,-87.6636478,Auburn Gresham
CBO,Access Austin,5853 North Ave.,Chicago,IL,60639,5853 North Ave. Chicago IL 60639,41.9092328,-87.7770675,Austin
CBO,Access Behavioral Services,3848 W 26th #114,Chicago,IL,60623,3848 W 26th #114 Chicago IL 60623,41.8444885,-87.7216703,North Lawndale
CBO,Access Bethany,3435 W. Van Buren St.,Chicago,IL,60624,3435 W. Van Buren St. Chicago IL 60624,41.8749132,-87.7123084,East Garfield Park
CBO,Access Booker,654 E. 47th,Chicago,IL,60653,654 E. 47th Chicago IL 60653,41.8096833,-87.6093444,Grand Boulevard
CBO,Access Brandon,8300 S. Brandon,Chicago,IL,60617,8300 S. Brandon Chicago IL 60617,41.74453,-87.5470144,Calumet Heights
CBO,Access Cabrini,3450 S. Archer Ave.,Chicago,IL,60608,3450 S. Archer Ave. Chicago IL 60608,41.8313314,-87.6766238,McKinley Park
CBO,Access Centro Medico,3700 W. 26th St.,Chicago,IL,60623,3700 W. 26th St. Chicago IL 60623,41.8445091,-87.7174093,South Lawndale
CBO,Access Doctors Medical Center,6240 W. 55th St.,Chicago,IL,60638,6240 W. 55th St. Chicago IL 60638,41.7926573,-87.7786007,Garfield Ridge
CBO,Access Evanston-Rogers Park,1555 W. Howard St.,Chicago,IL,60626,1555 W. Howard St. Chicago IL 60626,42.0191129,-87.6702407,Rogers Park
CBO,Access Grand Boulevard,5401 S. Wentworth Ave.,Chicago,IL,60609,5401 S. Wentworth Ave. Chicago IL 60609,41.7959814,-87.6290841,Fuller Park
CBO,Access Holy Cross,"2701 W. 69th Street, 3- South",Chicago,IL,60629,"2701 W. 69th Street, 3- South Chicago IL 60629",41.7679449,-87.6907206,Chicago Lawn
CBO,Access Humboldt Park,3202 W. North Ave.,Chicago,IL,60647,3202 W. North Ave. Chicago IL 60647,41.910444,-87.7070847,Humboldt Park
CBO,Access Kedzie,3213-21 W. 47th Place,Chicago,IL,60632,3213-21 W. 47th Place Chicago IL 60632,41.8058721,-87.7050199,Brighton Park
CBO,Access Kling Professional Medical Center,2720 W. 15th Street,Chicago,IL,60608,2720 W. 15th Street Chicago IL 60608,41.8613283,-87.6940786,North Lawndale
CBO,Access Madison,3800 W. Madison,Chicago,IL,60624,3800 W. Madison Chicago IL 60624,41.8811263,-87.7211423,West Garfield Park
CBO,Access Medical Specialists,400 E. 41st Street,Chicago,IL,60653,400 E. 41st Street Chicago IL 60653,41.8205293,-87.6160506,Grand Boulevard
CBO,Access Near West,1158 W. Taylor,Chicago,IL,60607,1158 W. Taylor Chicago IL 60607,41.8695954,-87.656509,Near West Side
CBO,Access Paul and Mimi Francis,3752 W. 16th St.,Chicago,IL,60623,3752 W. 16th St. Chicago IL 60623,41.859102,-87.7197152,North Lawndale
CBO,Access Peterson,2655 W. Peterson St.,Chicago,IL,60659,2655 W. Peterson St. Chicago IL 60659,41.9901794,-87.6966458,West Ridge
CBO,Access Plaza,2533 W. Cermak Rd.,Chicago,IL,60608,2533 W. Cermak Rd. Chicago IL 60608,41.8505636,-87.6892433,South Lawndale
CBO,Access Plaza Specialty Center,2507 W. Cermak Pd,Chicago,IL,60608,2507 W. Cermak Pd Chicago IL 60608,41.8514574,-87.6887549,McKinley Park
CBO,Access Plisen,1817 S. Loomis St.,Chicago,IL,60608,1817 S. Loomis St. Chicago IL 60608,41.8573307,-87.6609998,McKinley Park
CBO,Access Servicios Medicos,3303 W. 26th,Chicago,IL,60623,3303 W. 26th Chicago IL 60623,41.8438348,-87.7077966,South Lawndale
CBO,Access South State,5050 S. State St.,Chicago,IL,60609,5050 S. State St. Chicago IL 60609,41.8028256,-87.6259892,Grand Boulevard
CBO,Access Southwest,4839 S. 47th St.,Chicago,IL,60638,4839 S. 47th St. Chicago IL 60638,41.8074033,-87.7447537,Garfield Ridge
CBO,Access Taylor,4501 S. State St.,Chicago,IL,60609,4501 S. State St. Chicago IL 60609,41.8129146,-87.6257567,Grand Boulevard
CBO,Access Warren,2409 W. Warren Blvd.,Chicago,IL,60612,2409 W. Warren Blvd. Chicago IL 60612,41.881843,-87.6868401,Near West Side
CBO,Access West Division,4401 W. Division St.,Chicago,IL,60651,4401 W. Division St. Chicago IL 60651,41.902231,-87.736315,Humboldt Park
