Venue Type,Name,Address,City ,State,ZIP Code,Location,Community Areas,,Not on original map,,,,Community Areas
CBO,A Safe Haven,2750 W Roosevelt,Chicago,IL,60606,"2750 Roosevelt
Chicago, IL 60606
(41.881833223000456, -87.63667653899967)",North Lawndale,,Possible Double Entry,,,,West Englewood
Bakery,Abundance Bakery,47th & State,Chicago,IL,60604,"47th
Chicago, IL 60604
(41.87814431300046, -87.62918574999969)",Loop,,Outside CCA,,,,
CBO,Access Armitage,2957 W. Armitage,Chicago,IL,60647,"2957 Armitage
Chicago, IL 60647
(41.92057329200048, -87.69937931399966)",Logan Square,,,,,,
CBO,Access Ashland,5256 S. Ashland Ave.,Chicago,IL,60609,"5256 Ashland Ave
Chicago, IL 60609
(41.79786113300048, -87.66468052899967)",New City,,,,,,
CBO,Access at Anixter Center,2020 N. Clyborn Ave.,Chicago,IL,60614,"2020 Clyborn Ave
Chicago, IL 60614
(41.918245277000494, -87.65979715499964)",Lincoln Park,,,,,,
CBO,Access at Saint Francis Health Center,7465 N. Clark St.,Chicago,IL,60626,"7465 Clark St
Chicago, IL 60626
(42.01723590800049, -87.67538887099965)",Rogers Park,,,,,,Garfield Ridge
CBO,Access At the Eye Instutute,3241 S. Michigan Ave.,Chicago,IL,60616,"3241 Michigan Ave
Chicago, IL 60616
(41.83562352500047, -87.62331779899966)",Douglas,,,,,,
CBO,Access Auburn-Gresham,8234 S. Ashland Ave.,Chicago,IL,60620,"8234 Ashland Ave
Chicago, IL 60620
(41.74381102300049, -87.66327013499966)",Auburn Gresham,,,,,,McKinley Park
CBO,Access Austin,5853 North Ave.,Chicago,IL,60639,"5853 North Ave
Chicago, IL 60639
(41.909270706000484, -87.77289021399969)",Austin,,,,,,
CBO,Access Behavioral Services,3848 W 26th #114,Chicago,IL,60623,"3848 26th
Chicago, IL 60623
(41.85304321700045, -87.71752840199969)",North Lawndale,,,,,,
CBO,Access Bethany,3435 W. Van Buren St.,Chicago,IL,60624,"3435 Van Buren St
Chicago, IL 60624
(41.87540658800049, -87.71204450799968)",East Garfield Park,,,,,,Washington Park
CBO,Access Booker,654 E. 47th St.,Chicago,IL,60653,"654 47th St
Chicago, IL 60653
(41.80951737200047, -87.60946890999969)",,13 and 14 double entry,,,,,Roseland
CBO,Access Booker,654 E. 47th,Chicago,IL,60653,"654 47th
Chicago, IL 60653
(41.81843090300049, -87.61270948899966)",Grand Boulevard,13 and 14 double entry,,,,,Near West Side
