Name,Community Area Name
A Safe Haven,North Lawndale
Abundance Bakery,Loop
Access Armitage,Logan Square
Access Ashland,New City
Access at Anixter Center,Lincoln Park
Access at Saint Francis Health Center,Rogers Park
Access At the Eye Instutute,Douglas
Access Auburn-Gresham,Auburn Gresham
Access Austin,Austin
Access Behavioral Services,North Lawndale
Access Bethany,East Garfield Park
Access Booker,Grand Boulevard
Access Brandon,Calumet Heights
Access Cabrini,McKinley Park
Access Centro Medico,South Lawndale
Access Doctors Medical Center,Garfield Ridge
Access Evanston-Rogers Park,Rogers Park
Access Grand Boulevard,Fuller Park
Access Holy Cross,Chicago Lawn
Access Humboldt Park,Humboldt Park
Access Kedzie,Brighton Park
Access Kling Professional Medical Center,North Lawndale
Access Madison,West Garfield Park
Access Medical Specialists,Grand Boulevard
Access Near West,Near West Side
Access Paul and Mimi Francis,North Lawndale
Access Peterson,West Ridge
Access Plaza,South Lawndale
Access Plaza Specialty Center,McKinley Park
Access Plisen,McKinley Park
Access Servicios Medicos,South Lawndale
Access South State,Grand Boulevard
Access Southwest,Garfield Ridge
Access Taylor,Grand Boulevard
Access Warren,Near West Side
Access West Division,Humboldt Park
Advocate Trinity Hospital,Calumet Heights
AGAPE,Riverdale
AIDS Foundation of Chicago,Loop
Alexian Brothers / Bonaventure House,Lake View
Alivio Medial Center,McKinley Park
Alivio Medical Center,Lower West Side
Altgeld Health Center,Riverdale
American Indian Health Center,Lake View
Anvil,Edgewater
Asian Human Services,Uptown
At the Barbershop,Grand Boulevard
Attractions Hair Salon,Logan Square
Austin CBC,Rogers Park
Austin Planned Parenthood of Illinois,Austin
Berlin,Lake View
Big Chicks,Uptown
Bijou,Near North Side
Bill?s Blues,Beverly
Black Jack's Barber Shop,Archer Heights
Bobby Love,Lake View
Broadway Youth Center,Lake View
Brother's Health,Lower West Side
Brown Elephant Clark,Rogers Park
Brown Elephant Halsted,Lake View
CALOR,Norwood Park
Cateteria Marianaos,Belmont Cragin
Cell Block,Lake View
Center on Halsted,Lake View
Centro De Salud Esperanza,South Lawndale
Chapaz School of Haircutting,Roseland
Charlie's,Lake View
Chicago Family Heaalth Center East Side,East Side
Chicago Family Health Center,South Chicago
Chicago Family Health Center,Roseland
Chicago Family Health Center Pullman,Roseland
Chicago Family Health Center Roseland,Roseland
Chicago House and Social Service Agency,Lincoln Park
Chicago Recovery Alliance,Near West Side
Chicago Women's AIDS Project,Edgewater
Chicago Women's Project,South Shore
Christian Community Health Center,Auburn Gresham
Christian Community Health Center,Morgan Park
Christian Community Health Center,Washington Heights
Circle Family Care,Austin
Cocktail,Lake View
Community Outreach Intervention Project,West Englewood
Community Outreach Intervention Project,Uptown
Community Outreach Intervention Project,South Chicago
Community Outreach Intervention Project,Austin
Community Outreach Intervention Project,Humboldt Park
Core Center,Near West Side
Cut It Out,South Shore
Danny Boy 2 Unlimited Hair,Woodlawn
Dubose Barber Shop,South Shore
Eddie?s Auto,South Shore
Englewood Planned Parenthood of Illinois,West Englewood
Englewood Speciality Clinic,Englewood
Falcon Inn,Woodlawn
Family Guidance Center,Near North Side
Friend Family Health Center,West Englewood
Friend Family Health Center,West Elsdon
Friend Family Health Center,Brighton Park
Friend Famliy Health Center,Washington Park
Hair Icon,Woodlawn
Hair Werks,Greater Grand Crossing
Harold Washington College,Near North Side
Haymarket Center,Near West Side
Haymarket House,Near West Side
Heartland Health Center,Uptown
Heartland Health Center,Ravenswood
Heartland Health Center,West Ridge
Heartland Human Care Services,Uptown
Howard Brown Health Center,Uptown
Howard Brown Health Center,Uptown
HRDI,Roseland
Infectious Disease & Travel Clinic,Lake View
Jackhammer,Rogers Park
Jackson Park Hospital,South Shore
Jeffery Pub,South Shore
Jewish Child & Family Services,Loop
Jr's Plaza,East Garfield Park
Just Like That,West Garfield Park
Lawndale Christian Health Center,North Lawndale
Life Storage,Humboldt Park
Life Storage,Belmont Cragin
Lil' Jims,Lake View
Lite Inn,Humboldt Park
Loop Planned Parenthood of Illinois,Loop
Love of Christ,Englewood
Lucky Horseshoe,Lake View
Mac's Record,Austin
Man's Country,Uptown
Mary's Attic,Edgewater
Masters,Austin
Mile Square Back of the Yards,New City
Mile Square Health Center,Near West Side
Mile Square South Shore,South Shore
No Other Place,Roseland
Olive Harvey College,Pullman
Orleans Missionary Baptist Church,Chatham
People for Community Recovery,Loop
Perfect Solution Salon,Chatham
Pie Hole,Lake View
Plus Hair,Washinton Park
Prevention Partnership,Loop
Prius Urgent Care,Logan Square
Project VIDA,South Lawndale
Pureto Rican Cultural Center/VIDA SIDA,West Town
Rogers Park Community Center,Rogers Park
Roseland Community Center,Roseland
Roseland Specialty Clinic,Roseland
RoselandPlanned Parenthood of Illinois,Morgan Park
Second Story,Near North Side
Self Explanatory,West Garfield Park
South Austin Specialty Clinic,Austin
South Side Help Center,Washington Heights
Spin,Lake View
Steamworks,Lake View
Task Force Prevention,Austin
Test Positive Aware Network,Edgewater
The Call,Old Town
The Music Lounge,Logan Square
The North Hotel,West Town
Thin N That Lingerie,South Shore
Thresholds,Lake View
TNT Barber Shop,Chatham
Touche,Rogers Park
TRIAD,Lake View
Union Auto,Englewood
University of Illinois at Chicago,Near West Side
Wabash Tap,Loop
Walgreens,Uptown
Wences Hair Studio,Humboldt Park
West Town Specialty Clinic,West Town
Womens Professional,West Englewood
