,Community Area Name,Reported Cases
0,ALBANY PARK,199.0
1,ARCHER HEIGHTS,81.0
2,ARMOUR SQUARE,76.0
3,ASHBURN,270.0
4,AUBURN GRESHAM,805.0
5,AUSTIN,1827.0
6,AVALON PARK,126.0
7,AVONDALE,205.0
8,BELMONT CRAGIN,463.0
9,BEVERLY,73.0
10,BRIDGEPORT,100.0
11,BRIGHTON PARK,272.0
12,BURNSIDE,45.0
13,CALUMET HEIGHTS,121.0
14,CHATHAM,442.0
15,CHICAGO,23612.0
16,CHICAGO LAWN,808.0
17,CLEARING,60.0
18,DOUGLAS,234.0
19,DUNNING,84.0
20,EAST GARFIELD PARK,470.0
21,EAST SIDE,100.0
22,EDGEWATER,248.0
23,EDISON PARK,20.0
24,ENGLEWOOD,683.0
25,FOREST GLEN,13.0
26,FULLER PARK,45.0
27,GAGE PARK,275.0
28,GARFIELD RIDGE,137.0
29,GRAND BOULEVARD,394.0
30,GREATER GRAND CROSSING,680.0
31,HEGEWISCH,30.0
32,HERMOSA,175.0
33,HUMBOLDT PARK,866.0
34,HYDE PARK,104.0
35,IRVING PARK,222.0
36,JEFFERSON PARK,56.0
37,KENWOOD,180.0
38,LAKE VIEW,501.0
39,LINCOLN PARK,262.0
40,LINCOLN SQUARE,106.0
41,LOGAN SQUARE,388.0
42,LOOP,142.0
43,LOWER WEST SIDE,242.0
44,MCKINLEY PARK,85.0
45,MONTCLAIRE,62.0
46,MORGAN PARK,198.0
47,MOUNT GREENWOOD,45.0
48,NEAR NORTH SIDE,369.0
49,NEAR SOUTH SIDE,83.0
50,NEAR WEST SIDE,619.0
51,NEW CITY,529.0
52,NORTH CENTER,85.0
53,NORTH LAWNDALE,1017.0
54,NORTH PARK,32.0
55,NORWOOD PARK,38.0
56,O'HARE,29.0
57,OAKLAND,121.0
58,PORTAGE PARK,227.0
59,PULLMAN,89.0
60,RIVERDALE,144.0
61,ROGERS PARK,373.0
62,ROSELAND,628.0
63,SOUTH CHICAGO,423.0
64,SOUTH DEERING,190.0
65,SOUTH LAWNDALE,532.0
66,SOUTH SHORE,862.0
67,UNKNOWN,35.0
68,UPTOWN,366.0
69,WASHINGTON HEIGHTS,392.0
70,WASHINGTON PARK,306.0
71,WEST ELSDON,86.0
72,WEST ENGLEWOOD,793.0
73,WEST GARFIELD PARK,479.0
74,WEST LAWN,178.0
75,WEST PULLMAN,467.0
76,WEST RIDGE,237.0
77,WEST TOWN,482.0
78,WOODLAWN,377.0
