,Community Area Name,CASES 2001 Male 15-44,CASES 2002 Male 15-44,CASES 2003 Male 15-44,CASES 2004 Male 15-44,CASES 2005 Male 15-44,CASES 2006 Male 15-44,CASES 2007 Male 15-44,CASES 2008 Male 15-44,CASES 2009 Male 15-44,CASES 2010 Male 15-44,CASES 2011 Male 15-44,CASES 2012 MALE 15-44,CASES 2013 Male 15-44,CASES 2014 Male 15-44,Cases 2000 Female 15-44,Cases 2001 Female 15-44,Cases 2002 Female 15-44,Cases 2003 Female 15-44,Cases 2004 Female 15-44,Cases 2005 Female 15-44,Cases 2006 Female 15-44,Cases 2007 Female 15-44,Cases 2008 Female 15-44,Cases 2009 Female 15-44,Cases 2010 Female 15-44,Cases 2011 Female 15-44,Cases 2012 Female 15-44,Cases 2013 Female 15-44,Cases 2014 Female 15-44
0,Rogers Park,108.0,136.0,84.0,92.0,76.0,81.0,79.0,71.0,84.0,94.0,116.0,102.0,135.0,139.0,258.0,217.0,229.0,224.0,189.0,184.0,196.0,212.0,210,192.0,211.0,222.0,218,203,234
1,West Ridge,31.0,51.0,32.0,36.0,36.0,41.0,37.0,30.0,26.0,47.0,71.0,61.0,72.0,78.0,69.0,66.0,71.0,67.0,100.0,95.0,133.0,113.0,123,97.0,98.0,171.0,149,164,159
2,Uptown,93.0,109.0,88.0,89.0,83.0,91.0,98.0,83.0,76.0,66.0,92.0,114.0,144.0,189.0,169.0,157.0,133.0,127.0,128.0,147.0,128.0,136.0,122,116.0,100.0,106.0,160,135,177
3,Lincoln Square,11.0,21.0,24.0,24.0,31.0,12.0,24.0,24.0,16.0,25.0,26.0,32.0,27.0,34.0,51.0,59.0,45.0,43.0,52.0,67.0,41.0,57.0,55,46.0,62.0,59.0,64,66,72
4,North Center,18.0,14.0,16.0,13.0,21.0,15.0,13.0,17.0,13.0,10.0,13.0,27.0,29.0,46.0,26.0,35.0,28.0,30.0,41.0,32.0,35.0,29.0,34,32.0,40.0,42.0,36,36,39
5,Lake View,68.0,62.0,94.0,111.0,128.0,113.0,137.0,108.0,86.0,116.0,128.0,190.0,224.0,283.0,71.0,69.0,88.0,67.0,107.0,139.0,128.0,173.0,117,123.0,119.0,158.0,191,192,218
6,Lincoln Park,19.0,26.0,30.0,33.0,40.0,46.0,38.0,49.0,29.0,40.0,59.0,79.0,78.0,112.0,56.0,53.0,65.0,57.0,83.0,79.0,79.0,97.0,96,80.0,88.0,106.0,126,111,150
7,Near North Side,61.0,114.0,77.0,54.0,83.0,72.0,69.0,76.0,64.0,80.0,110.0,120.0,108.0,165.0,171.0,214.0,207.0,227.0,239.0,208.0,174.0,197.0,180,179.0,201.0,275.0,244,215,204
8,Edison Park,,,,0.0,,0.0,0.0,,,,,,,7.0,,,,,,,,0.0,5,,,,6,5,13
9,Norwood Park,,5.0,,,,5.0,,6.0,,13.0,9.0,14.0,13.0,10.0,12.0,10.0,21.0,11.0,15.0,15.0,21.0,27.0,15,20.0,12.0,27.0,24,31,28
10,Jefferson Park,12.0,11.0,,,9.0,7.0,9.0,5.0,7.0,12.0,14.0,13.0,9.0,12.0,5.0,8.0,18.0,16.0,14.0,16.0,21.0,19.0,37,20.0,20.0,35.0,46,32,44
