Community Area Name,Cases,Reported Cases,Year,Gender,STI Name
ROGERS PARK,CASES 2001 MALE 15-44,108,2001,MALE,CHL
WEST RIDGE,CASES 2001 MALE 15-44,31,2001,MALE,CHL
UPTOWN,CASES 2001 MALE 15-44,93,2001,MALE,CHL
LINCOLN SQUARE,CASES 2001 MALE 15-44,11,2001,MALE,CHL
NORTH CENTER,CASES 2001 MALE 15-44,18,2001,MALE,CHL
LAKE VIEW,CASES 2001 MALE 15-44,68,2001,MALE,CHL
LINCOLN PARK,CASES 2001 MALE 15-44,19,2001,MALE,CHL
NEAR NORTH SIDE,CASES 2001 MALE 15-44,61,2001,MALE,CHL
EDISON PARK,CASES 2001 MALE 15-44,0,2001,MALE,CHL
NORWOOD PARK,CASES 2001 MALE 15-44,0,2001,MALE,CHL
JEFFERSON PARK,CASES 2001 MALE 15-44,12,2001,MALE,CHL
FOREST GLEN,CASES 2001 MALE 15-44,0,2001,MALE,CHL
NORTH PARK,CASES 2001 MALE 15-44,0,2001,MALE,CHL
NEAR WEST SIDE,CASES 2001 MALE 15-44,122,2001,MALE,CHL
ALBANY PARK,CASES 2001 MALE 15-44,32,2001,MALE,CHL
PORTAGE PARK,CASES 2001 MALE 15-44,10,2001,MALE,CHL
IRVING PARK,CASES 2001 MALE 15-44,17,2001,MALE,CHL
DUNNING,CASES 2001 MALE 15-44,0,2001,MALE,CHL
MONTCLAIRE,CASES 2001 MALE 15-44,0,2001,MALE,CHL
BELMONT CRAGIN,CASES 2001 MALE 15-44,42,2001,MALE,CHL
HERMOSA,CASES 2001 MALE 15-44,21,2001,MALE,CHL
AVONDALE,CASES 2001 MALE 15-44,21,2001,MALE,CHL
LOGAN SQUARE,CASES 2001 MALE 15-44,53,2001,MALE,CHL
HUMBOLDT PARK,CASES 2001 MALE 15-44,172,2001,MALE,CHL
WEST TOWN,CASES 2001 MALE 15-44,91,2001,MALE,CHL
AUSTIN,CASES 2001 MALE 15-44,450,2001,MALE,CHL
WEST GARFIELD PARK,CASES 2001 MALE 15-44,136,2001,MALE,CHL
EAST GARFIELD PARK,CASES 2001 MALE 15-44,104,2001,MALE,CHL
NORTH LAWNDALE,CASES 2001 MALE 15-44,200,2001,MALE,CHL
SOUTH LAWNDALE,CASES 2001 MALE 15-44,78,2001,MALE,CHL
LOWER WEST SIDE,CASES 2001 MALE 15-44,25,2001,MALE,CHL
LOOP,CASES 2001 MALE 15-44,11,2001,MALE,CHL
NEAR SOUTH SIDE,CASES 2001 MALE 15-44,31,2001,MALE,CHL
ARMOUR SQUARE,CASES 2001 MALE 15-44,11,2001,MALE,CHL
DOUGLAS,CASES 2001 MALE 15-44,78,2001,MALE,CHL
OAKLAND,CASES 2001 MALE 15-44,29,2001,MALE,CHL
FULLER PARK,CASES 2001 MALE 15-44,13,2001,MALE,CHL
GRAND BOULEVARD,CASES 2001 MALE 15-44,104,2001,MALE,CHL
KENWOOD,CASES 2001 MALE 15-44,36,2001,MALE,CHL
WASHINGTON PARK,CASES 2001 MALE 15-44,80,2001,MALE,CHL
HYDE PARK,CASES 2001 MALE 15-44,28,2001,MALE,CHL
WOODLAWN,CASES 2001 MALE 15-44,92,2001,MALE,CHL
SOUTH SHORE,CASES 2001 MALE 15-44,183,2001,MALE,CHL
CHATHAM,CASES 2001 MALE 15-44,98,2001,MALE,CHL
AVALON PARK,CASES 2001 MALE 15-44,29,2001,MALE,CHL
SOUTH CHICAGO,CASES 2001 MALE 15-44,93,2001,MALE,CHL
BURNSIDE,CASES 2001 MALE 15-44,11,2001,MALE,CHL
CALUMET HEIGHTS,CASES 2001 MALE 15-44,31,2001,MALE,CHL
ROSELAND,CASES 2001 MALE 15-44,201,2001,MALE,CHL
PULLMAN,CASES 2001 MALE 15-44,21,2001,MALE,CHL
SOUTH DEERING,CASES 2001 MALE 15-44,25,2001,MALE,CHL
EAST SIDE,CASES 2001 MALE 15-44,14,2001,MALE,CHL
WEST PULLMAN,CASES 2001 MALE 15-44,125,2001,MALE,CHL
RIVERDALE,CASES 2001 MALE 15-44,28,2001,MALE,CHL
HEGEWISCH,CASES 2001 MALE 15-44,0,2001,MALE,CHL
GARFIELD RIDGE,CASES 2001 MALE 15-44,26,2001,MALE,CHL
ARCHER HEIGHTS,CASES 2001 MALE 15-44,0,2001,MALE,CHL
BRIGHTON PARK,CASES 2001 MALE 15-44,23,2001,MALE,CHL
MCKINLEY PARK,CASES 2001 MALE 15-44,0,2001,MALE,CHL
BRIDGEPORT,CASES 2001 MALE 15-44,10,2001,MALE,CHL
NEW CITY,CASES 2001 MALE 15-44,106,2001,MALE,CHL
WEST ELSDON,CASES 2001 MALE 15-44,9,2001,MALE,CHL
GAGE PARK,CASES 2001 MALE 15-44,37,2001,MALE,CHL
CLEARING,CASES 2001 MALE 15-44,0,2001,MALE,CHL
WEST LAWN,CASES 2001 MALE 15-44,11,2001,MALE,CHL
CHICAGO LAWN,CASES 2001 MALE 15-44,140,2001,MALE,CHL
WEST ENGLEWOOD,CASES 2001 MALE 15-44,210,2001,MALE,CHL
ENGLEWOOD,CASES 2001 MALE 15-44,205,2001,MALE,CHL
GREATER GRAND CROSSING,CASES 2001 MALE 15-44,124,2001,MALE,CHL
ASHBURN,CASES 2001 MALE 15-44,39,2001,MALE,CHL
AUBURN GRESHAM,CASES 2001 MALE 15-44,193,2001,MALE,CHL
BEVERLY,CASES 2001 MALE 15-44,17,2001,MALE,CHL
WASHINGTON HEIGHTS,CASES 2001 MALE 15-44,80,2001,MALE,CHL
MOUNT GREENWOOD,CASES 2001 MALE 15-44,0,2001,MALE,CHL
MORGAN PARK,CASES 2001 MALE 15-44,49,2001,MALE,CHL
O'HARE,CASES 2001 MALE 15-44,0,2001,MALE,CHL
EDGEWATER,CASES 2001 MALE 15-44,48,2001,MALE,CHL
ROGERS PARK,CASES 2002 MALE 15-44,136,2002,MALE,CHL
WEST RIDGE,CASES 2002 MALE 15-44,51,2002,MALE,CHL
UPTOWN,CASES 2002 MALE 15-44,109,2002,MALE,CHL
LINCOLN SQUARE,CASES 2002 MALE 15-44,21,2002,MALE,CHL
NORTH CENTER,CASES 2002 MALE 15-44,14,2002,MALE,CHL
LAKE VIEW,CASES 2002 MALE 15-44,62,2002,MALE,CHL
LINCOLN PARK,CASES 2002 MALE 15-44,26,2002,MALE,CHL
NEAR NORTH SIDE,CASES 2002 MALE 15-44,114,2002,MALE,CHL
EDISON PARK,CASES 2002 MALE 15-44,0,2002,MALE,CHL
NORWOOD PARK,CASES 2002 MALE 15-44,5,2002,MALE,CHL
JEFFERSON PARK,CASES 2002 MALE 15-44,11,2002,MALE,CHL
FOREST GLEN,CASES 2002 MALE 15-44,0,2002,MALE,CHL
NORTH PARK,CASES 2002 MALE 15-44,9,2002,MALE,CHL
NEAR WEST SIDE,CASES 2002 MALE 15-44,166,2002,MALE,CHL
ALBANY PARK,CASES 2002 MALE 15-44,39,2002,MALE,CHL
